order,name,version,direct,selection_reason,filename,selected_tag,size_bytes,sha256,url,source_index,requires_python,upload_time_iso_8601
1,aiohappyeyeballs,2.7.1,False,VERIFIED_HOST_VERSION,aiohappyeyeballs-2.7.1-py3-none-any.whl,py3-none-any,15038,9243213661e29250eb41368e5daa826fc017156c3b8a11440826b2e3ed376472,https://files.pythonhosted.org/packages/71/43/1947f06babed6b3f1d7f38b0c767f52df66bfb2bc10b468c4a7de9eceff2/aiohappyeyeballs-2.7.1-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-07-01T17:11:54.055058Z
2,aiohttp,3.14.1,True,DIRECT_PIN_VERIFIED_HOST,aiohttp-3.14.1-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,485001,af8b4b81a960eeaf1234971ac3cd0ba5901f3cd42eae42a46b4d089a8b492719,https://files.pythonhosted.org/packages/f0/2b/13e8d741a9ec5db7d900c060554cf8352ab85e44e2a4469ebb9d377bda17/aiohttp-3.14.1-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-06-07T21:08:48.401516Z
3,aiosignal,1.4.0,False,VERIFIED_HOST_VERSION,aiosignal-1.4.0-py3-none-any.whl,py3-none-any,7490,053243f8b92b990551949e63930a839ff0cf0b0ebbe0597b0f3fb19e1a0fe82e,https://files.pythonhosted.org/packages/fb/76/641ae371508676492379f16e2fa48f4e2c11741bd63c48be4b12a6b09cba/aiosignal-1.4.0-py3-none-any.whl,https://pypi.org/simple,>=3.9,2025-07-03T22:54:42.156277Z
4,alembic,1.18.5,True,DIRECT_PIN_VERIFIED_HOST,alembic-1.18.5-py3-none-any.whl,py3-none-any,264664,06d8ba9d04558022f5395e9317de03d270f3dced49cee01f89fe7a13c26f14bc,https://files.pythonhosted.org/packages/96/78/5fe6dc3a3a5b2f5a2a4faef8bfe336d5fa049a38884ab3172e0098160c01/alembic-1.18.5-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-06-25T15:20:56.673419Z
5,annotated-doc,0.0.4,False,VERIFIED_HOST_VERSION,annotated_doc-0.0.4-py3-none-any.whl,py3-none-any,5303,571ac1dc6991c450b25a9c2d84a3705e2ae7a53467b5d111c24fa8baabbed320,https://files.pythonhosted.org/packages/1e/d3/26bf1008eb3d2daa8ef4cacc7f3bfdc11818d111f7e2d0201bc6e3b49d45/annotated_doc-0.0.4-py3-none-any.whl,https://pypi.org/simple,>=3.8,2025-11-10T22:07:40.673400Z
6,annotated-types,0.7.0,False,VERIFIED_HOST_VERSION,annotated_types-0.7.0-py3-none-any.whl,py3-none-any,13643,1f02e8b43a8fbbc3f3e0d4f0f4bfc8131bcb4eebe8849b8e5c773f3a1c582a53,https://files.pythonhosted.org/packages/78/b6/6307fbef88d9b5ee7421e68d78a9f162e0da4900bc5f5793f6d3d0e34fb8/annotated_types-0.7.0-py3-none-any.whl,https://pypi.org/simple,>=3.8,2024-05-20T21:33:24.100469Z
7,anyio,4.14.1,False,VERIFIED_HOST_VERSION,anyio-4.14.1-py3-none-any.whl,py3-none-any,124875,4e5533c5b8ff0a24f5d7a176cbe6877129cd183893f66b537f8f227d10527d72,https://files.pythonhosted.org/packages/b0/7b/90df4a0a816d98d6ea26f559d87836d494a2cf1fcf063be67df50a7bcc30/anyio-4.14.1-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-06-24T20:56:04.413052Z
8,attrs,26.1.0,False,VERIFIED_HOST_VERSION,attrs-26.1.0-py3-none-any.whl,py3-none-any,67548,c647aa4a12dfbad9333ca4e71fe62ddc36f4e63b2d260a37a8b83d2f043ac309,https://files.pythonhosted.org/packages/64/b4/17d4b0b2a2dc85a6df63d1157e028ed19f90d4cd97c36717afef2bc2f395/attrs-26.1.0-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-03-19T14:22:23.645947Z
9,av,18.0.0,True,DIRECT_PIN_VERIFIED_HOST,av-18.0.0-cp311-abi3-win_amd64.whl,cp311-abi3-win_amd64,27556236,aaf4d354d2beaa6651e4f92e54409a578bde64f79c0beef9a30b388d06f7c629,https://files.pythonhosted.org/packages/11/85/0f121ff43dc5a70696676c98a8f1674e2fa787614c2abaacb15fa1a9bc99/av-18.0.0-cp311-abi3-win_amd64.whl,https://pypi.org/simple,>=3.11,2026-07-02T06:37:21.388809Z
10,blake3,1.0.9,True,DIRECT_PIN_VERIFIED_HOST,blake3-1.0.9-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,218526,0aba416bb2e3ef0c65e74d5eba21062483c714cd78e7e303c9d03c547fc7d015,https://files.pythonhosted.org/packages/63/ab/f29af72a8312b3827b50e55491f1bf9ae2347591de5c47365c5cbd2525a9/blake3-1.0.9-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.8,2026-06-22T18:01:27.779240Z
11,certifi,2026.6.17,False,VERIFIED_HOST_VERSION,certifi-2026.6.17-py3-none-any.whl,py3-none-any,133289,2227dcbaafe0d2f59279d1762ddddc37783ed4354594f194ffc31d20f41fc3db,https://files.pythonhosted.org/packages/ef/2f/c5464532e965badff2f4c4c1a3a83f5697f0d7c407ed0cda44aaa99bb451/certifi-2026.6.17-py3-none-any.whl,https://pypi.org/simple,>=3.7,2026-06-17T10:31:06.348672Z
12,cffi,2.0.0,False,VERIFIED_HOST_VERSION,cffi-2.0.0-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,185650,203a48d1fb583fc7d78a4c6655692963b860a417c0528492a6bc21f1aaefab25,https://files.pythonhosted.org/packages/bb/92/882c2d30831744296ce713f0feb4c1cd30f346ef747b530b5318715cc367/cffi-2.0.0-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.9,2025-09-08T23:23:45.848735Z
13,chardet,7.4.3,False,VERIFIED_HOST_VERSION,chardet-7.4.3-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,939594,b95c934b9ad59e2ba8abb9be49df70d3ad1b0d95d864b9fdb7588d4fa8bd921c,https://files.pythonhosted.org/packages/b1/2c/cad8b5e3623a987f3c930b68e2bdd06cfc388cd91cd42ed05f1227701b73/chardet-7.4.3-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-04-13T21:33:31.391101Z
14,charset-normalizer,3.4.7,False,VERIFIED_HOST_VERSION,charset_normalizer-3.4.7-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,159634,92a0a01ead5e668468e952e4238cccd7c537364eb7d851ab144ab6627dbbe12f,https://files.pythonhosted.org/packages/48/77/72dcb0921b2ce86420b2d79d454c7022bf5be40202a2a07906b9f2a35c97/charset_normalizer-3.4.7-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.7,2026-04-02T09:27:26.642081Z
15,click,8.4.2,False,VERIFIED_HOST_VERSION,click-8.4.2-py3-none-any.whl,py3-none-any,119243,e6f9f66136c816745b9d65817da91d61d957fb16e02e4dcd0552553c5a197b76,https://files.pythonhosted.org/packages/fb/e2/79c688af8b210d232694e31e59da9f6ec747bae31c3f5946e4e9b98860d5/click-8.4.2-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-06-24T17:45:13.730054Z
16,colorama,0.4.6,False,VERIFIED_HOST_VERSION,colorama-0.4.6-py2.py3-none-any.whl,py3-none-any,25335,4f1d9991f5acc0ca119f9d443620b77f9d6b33703e51011c16baf57afb285fc6,https://files.pythonhosted.org/packages/d1/d6/3965ed04c63042e047cb6a3e6ed1a63a35087b6a609aa3a15ed8ac56c221/colorama-0.4.6-py2.py3-none-any.whl,https://pypi.org/simple,"!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*,!=3.4.*,!=3.5.*,!=3.6.*,>=2.7",2022-10-25T02:36:20.889702Z
17,comfy-aimdo,0.4.10,True,DIRECT_PIN_VERIFIED_HOST,comfy_aimdo-0.4.10-cp39-abi3-win_amd64.whl,cp39-abi3-win_amd64,256475,5b5a51bf521336aa32fe2514eee89aa87ffdf5ef5d779add669cd90242e92f1d,https://files.pythonhosted.org/packages/20/8a/00b0a8324a5bb5258711ccd1cab0d84bde6198465d793e8d9b4a4565e80c/comfy_aimdo-0.4.10-cp39-abi3-win_amd64.whl,https://pypi.org/simple,>=3.9,2026-06-15T12:19:15.159222Z
18,comfy-angle,0.1.0,True,DIRECT_PIN_VERIFIED_HOST,comfy_angle-0.1.0-py3-none-win_amd64.whl,py3-none-win_amd64,5570972,6867580a2b65d0fb99fe376a30b2e3f33390fbe8dc52c3a7d96bae65afe42e60,https://files.pythonhosted.org/packages/98/2c/d15dfa9889c2247f6ab69cc51dad548a56c6c58dfec440339eea1f8af952/comfy_angle-0.1.0-py3-none-win_amd64.whl,https://pypi.org/simple,>=3.8,2026-03-25T15:08:41.610838Z
19,comfy-kitchen,0.2.13,True,DIRECT_PIN_VERIFIED_HOST,comfy_kitchen-0.2.13-cp312-abi3-win_amd64.whl,cp312-abi3-win_amd64,3268286,c3d7bba4cf15af691c8eaad41087cdfbceca4b2a350246130723226325ec67bb,https://files.pythonhosted.org/packages/77/b2/f1b1cb702fa98226e45fd0a739e94deeea4290bee04f192b69f5ca69cf95/comfy_kitchen-0.2.13-cp312-abi3-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-06-26T22:10:00.831253Z
20,comfyui-embedded-docs,0.5.5,True,DIRECT_PIN_VERIFIED_HOST,comfyui_embedded_docs-0.5.5-py3-none-any.whl,py3-none-any,15270246,1fad479eeb210f8c4b5bad0bd676f8fdf779d3bcc4a0c042fe14b51fe421a979,https://files.pythonhosted.org/packages/b5/89/af87194900ae28534dc1a17e398ff65f36e67e548eed673c7db62cb20d95/comfyui_embedded_docs-0.5.5-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-22T10:22:07.569229Z
21,comfyui-frontend-package,1.45.19,True,DIRECT_PIN_VERIFIED_HOST,comfyui_frontend_package-1.45.19-py3-none-any.whl,py3-none-any,26579068,838e89f9ab7931339b8ca3478f55c3434a31019f85cd35ae11c665681e4cdd95,https://files.pythonhosted.org/packages/db/df/b0c3a3ca66cc8ec010f055dfe8299949e373e7f22986164e879534a5e044/comfyui_frontend_package-1.45.19-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-19T21:18:34.406778Z
22,comfyui-manager,4.2.2,True,DIRECT_PIN_VERIFIED_HOST,comfyui_manager-4.2.2-py3-none-any.whl,py3-none-any,1040574,9b0331e5b84483b406260480b92ad91dbd8473cae6e2262127e8c11577ce0473,https://files.pythonhosted.org/packages/2c/21/ff7464c4ea1bc53741280d2b26046c2c9e8ba742e096a971aff2f83da1bb/comfyui_manager-4.2.2-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-14T17:42:38.287690Z
23,comfyui-workflow-templates,0.10.7,True,DIRECT_PIN_VERIFIED_HOST,comfyui_workflow_templates-0.10.7-py3-none-any.whl,py3-none-any,10474,2c67eb566b1c1f829cd03ce84edd35d6e27b159c15eedd1a551e6fd4f7bc370f,https://files.pythonhosted.org/packages/db/81/ce852cb1746b86c4b59d1c5626b8445a346881e265d0f9ca9797bea802c7/comfyui_workflow_templates-0.10.7-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-25T13:28:24.252603Z
24,comfyui-workflow-templates-core,0.3.263,False,VERIFIED_HOST_VERSION,comfyui_workflow_templates_core-0.3.263-py3-none-any.whl,py3-none-any,64042,f469f03e0aa32fe9810e8c60e0793623643c0e71966be958d9c7e75dfe55ad6d,https://files.pythonhosted.org/packages/10/cc/d14609e3a0f84605f99d8a224a5ce202f2680313bc5a4614488f8f2fb8c6/comfyui_workflow_templates_core-0.3.263-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-25T13:18:47.602027Z
25,comfyui-workflow-templates-media-api,0.3.81,False,VERIFIED_HOST_VERSION,comfyui_workflow_templates_media_api-0.3.81-py3-none-any.whl,py3-none-any,95151533,2c000665bada109315f9dafbcf435721a4830f8359bd7aee0c22548fe8304356,https://files.pythonhosted.org/packages/ff/7c/b5c8b5515fcdefc5eee48e9dcb447e7f7d04be92feb64456c288a9b55a73/comfyui_workflow_templates_media_api-0.3.81-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-23T15:27:12.594480Z
26,comfyui-workflow-templates-media-image,0.3.157,False,VERIFIED_HOST_VERSION,comfyui_workflow_templates_media_image-0.3.157-py3-none-any.whl,py3-none-any,90176752,64ec66b1ad0ab0425e8f586b1f4d10ca4974d678105aaed1e1b55e1ea15e097e,https://files.pythonhosted.org/packages/6e/12/b58099fc61f183991a92dd03f28cecdc3d6c15d266ac995f6544605a702c/comfyui_workflow_templates_media_image-0.3.157-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-25T13:19:03.639813Z
27,comfyui-workflow-templates-media-other,0.3.226,False,VERIFIED_HOST_VERSION,comfyui_workflow_templates_media_other-0.3.226-py3-none-any.whl,py3-none-any,89208134,f3b2c40d559f4bde2bdbe46ae6129f43600881b03785f4680ffce24b14b295d0,https://files.pythonhosted.org/packages/99/8c/808153e5c9e382fddad31391261b2c8539fc30fcda2fa7f05cdc964af49c/comfyui_workflow_templates_media_other-0.3.226-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-25T13:19:22.891968Z
28,comfyui-workflow-templates-media-video,0.3.98,False,VERIFIED_HOST_VERSION,comfyui_workflow_templates_media_video-0.3.98-py3-none-any.whl,py3-none-any,97832522,bddd2514dd7293751d85a93232af201e128eb83b9350dfc4e839838496c1d362,https://files.pythonhosted.org/packages/4d/62/733a84fd13e507d1afd29f765ba27598ad22e14afe054208a1fc7c146c1c/comfyui_workflow_templates_media_video-0.3.98-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-06-25T13:28:11.271430Z
29,cryptography,49.0.0,False,VERIFIED_HOST_VERSION,cryptography-49.0.0-cp311-abi3-win_amd64.whl,cp311-abi3-win_amd64,3810026,e5dfc1e64de5677cec922ffa8da89c546d0415bf6efdf081842e5d44c84e1f0e,https://files.pythonhosted.org/packages/1f/09/f42b1d190c5ba75f72062a387f8030d1d75f6ab035788f1d9c4b01de6525/cryptography-49.0.0-cp311-abi3-win_amd64.whl,https://pypi.org/simple,"!=3.9.0,!=3.9.1,>=3.9",2026-06-12T20:02:39.262542Z
30,einops,0.8.2,True,DIRECT_PIN_VERIFIED_HOST,einops-0.8.2-py3-none-any.whl,py3-none-any,65638,54058201ac7087911181bfec4af6091bb59380360f069276601256a76af08193,https://files.pythonhosted.org/packages/2a/09/f8d8f8f31e4483c10a906437b4ce31bdf3d6d417b73fe33f1a8b59e34228/einops-0.8.2-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-01-26T04:13:18.546466Z
31,filelock,3.29.5,True,DIRECT_PIN_VERIFIED_HOST,filelock-3.29.5-py3-none-any.whl,py3-none-any,45073,8af830889ba3a0ffcefbd6c7d2af8a54012058103771f2e10848222f476a1693,https://files.pythonhosted.org/packages/4a/e3/f1fae3647d170919c2cf2a898e77e7d1a4e5c7cae0aed7bb4bd3f5ebff6f/filelock-3.29.5-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-07-03T03:50:30.445336Z
32,frozenlist,1.8.0,False,VERIFIED_HOST_VERSION,frozenlist-1.8.0-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,44330,3e0761f4d1a44f1d1a47996511752cf3dcec5bbdd9cc2b4fe595caf97754b7a0,https://files.pythonhosted.org/packages/59/ad/9caa9b9c836d9ad6f067157a531ac48b7d36499f5036d4141ce78c230b1b/frozenlist-1.8.0-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.9,2025-10-06T05:37:26.928497Z
33,fsspec,2026.6.0,False,VERIFIED_HOST_VERSION,fsspec-2026.6.0-py3-none-any.whl,py3-none-any,203949,02e0b71817df9b2169dc30a16832045764def1191b43dcff5bb85bdee212d2a1,https://files.pythonhosted.org/packages/e5/22/4222d7ddf3da30f363edaa98e329c2bce6c65497c9cb2810931c8b2c0fbc/fsspec-2026.6.0-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-06-16T01:57:26.358592Z
34,gitdb,4.0.12,False,VERIFIED_HOST_VERSION,gitdb-4.0.12-py3-none-any.whl,py3-none-any,62794,67073e15955400952c6565cc3e707c554a4eea2e428946f7a4c162fab9bd9bcf,https://files.pythonhosted.org/packages/a0/61/5c78b91c3143ed5c14207f463aecfc8f9dbb5092fb2869baf37c273b2705/gitdb-4.0.12-py3-none-any.whl,https://pypi.org/simple,>=3.7,2025-01-02T07:20:43.624964Z
35,gitpython,3.1.50,False,VERIFIED_HOST_VERSION,gitpython-3.1.50-py3-none-any.whl,py3-none-any,212507,d352abe2908d07355014abdd21ddf798c2a961469239afec4962e9da884858f9,https://files.pythonhosted.org/packages/20/7a/1c6e3562dfd8950adbb11ffbc65d21e7c89d01a6e4f137fa981056de25c5/gitpython-3.1.50-py3-none-any.whl,https://pypi.org/simple,>=3.7,2026-05-06T04:01:23.799215Z
