profile,model,test_id,title,response_ok,objective_pass,wall_seconds,tokens_per_second,failed_checks,reasoning_character_count
Fast Vision,Qwen3VL-8B-Instruct-Q4_K_M.gguf,ocr,Exact OCR and Counting,True,True,33.093,6.603,,0
Fast Vision,Qwen3VL-8B-Instruct-Q4_K_M.gguf,spatial,Spatial Relationships,True,False,42.577,6.28,arrow_left_to_right,0
Fast Vision,Qwen3VL-8B-Instruct-Q4_K_M.gguf,ui,Screenshot/UI Understanding,True,True,43.142,6.532,,0
Fast Vision,Qwen3VL-8B-Instruct-Q4_K_M.gguf,detail,Detailed Scene Description,True,False,49.807,6.56,no_people_or_animals_invented,0
Fast Vision,Qwen3VL-8B-Instruct-Q4_K_M.gguf,hallucination,Hallucination Resistance,True,True,4.58,6.677,,0
Quality Vision,Qwen3VL-8B-Instruct-Q8_0.gguf,ocr,Exact OCR and Counting,True,True,52.672,4.128,,0
Quality Vision,Qwen3VL-8B-Instruct-Q8_0.gguf,spatial,Spatial Relationships,True,False,70.381,4.18,arrow_left_to_right,0
Quality Vision,Qwen3VL-8B-Instruct-Q8_0.gguf,ui,Screenshot/UI Understanding,True,True,72.18,4.166,,0
Quality Vision,Qwen3VL-8B-Instruct-Q8_0.gguf,detail,Detailed Scene Description,True,False,81.089,4.14,no_people_or_animals_invented,0
Quality Vision,Qwen3VL-8B-Instruct-Q8_0.gguf,hallucination,Hallucination Resistance,True,True,7.245,4.234,,0
